Condition,Time_Point,Mean,Std
raff,1,0.0164609053497942,0.00789437287788102
raff,2,0.0197530864197531,0.00637528122832497
raff,3,0.0189300411522634,0.00663560308501938
raff,4,0.0271604938271605,0.0179755799735321
raff,5,0.0353909465020576,0.0179000519925363
raff,6,0.0411522633744856,0.0172643431797556
raff,7,0.0567901234567901,0.0210963055439939
raff,8,0.0592592592592593,0.0153537103754548
raff,9,0.065843621399177,0.0194768058702868
raff,10,0.0707818930041152,0.0141602062008932
raff,11,0.0814814814814815,0.0222222222222222
raff,12,0.0880658436213992,0.0146539043742921
raff,13,0.097119341563786,0.0174981824077937
raff,14,0.104526748971193,0.0206418702946246
raff,15,0.110288065843621,0.0179567277607172
raff,16,0.119341563786008,0.0181256918070331
raff,17,0.120164609053498,0.0149965984841882
raff,18,0.129218106995885,0.0167262563233758
raff,19,0.133333333333333,0.023162546962091
raff,20,0.137448559670782,0.0185687476093473
raff,21,0.141563786008231,0.0165430051376476
raff,22,0.148148148148148,0.03263247341827
raff,23,0.148148148148148,0.0265934064549852
raff,24,0.157201646090535,0.0311563674580209
raff,25,0.169547325102881,0.0329629372748984
raff,26,0.174485596707819,0.0448691791619391
raff,27,0.181069958847737,0.0425443555006423
raff,28,0.186008230452675,0.0360264504168548
raff,29,0.201646090534979,0.0351990202145565
raff,30,0.209053497942387,0.0383224583599105
sucr,1,0.0460905349794239,0.0705710324616494
sucr,2,0.0724279835390947,0.0623779269843504
sucr,3,0.101234567901235,0.0660541900485047
sucr,4,0.123456790123457,0.0684860709883612
sucr,5,0.147325102880658,0.0557548627306665
sucr,6,0.158024691358025,0.0426715436932205
sucr,7,0.183539094650206,0.0473161558907154
sucr,8,0.209053497942387,0.0562086290665477
sucr,9,0.234567901234568,0.0623833565815216
sucr,10,0.241152263374486,0.0532186441492254
sucr,11,0.261728395061728,0.0623344731811078
sucr,12,0.277366255144033,0.0694535125919005
sucr,13,0.293827160493827,0.0838900774208207
sucr,14,0.31522633744856,0.0887706880621007
sucr,15,0.327572016460905,0.0994489380542763
sucr,16,0.346502057613169,0.0890449780274388
sucr,17,0.352263374485597,0.104081876276788
sucr,18,0.378600823045268,0.107576770748935
sucr,19,0.409053497942387,0.131473592117614
sucr,20,0.410699588477366,0.123305806166655
sucr,21,0.440329218106996,0.140297233964118
sucr,22,0.445267489711934,0.13784226897997
sucr,23,0.478189300411523,0.149579278675175
sucr,24,0.488065843621399,0.153256686585833
sucr,25,0.488065843621399,0.146448873686719
sucr,26,0.472427983539095,0.136516392537385
sucr,27,0.497119341563786,0.146400297576027
sucr,28,0.511111111111111,0.140190970120902
sucr,29,0.525925925925926,0.144249102903492
sucr,30,0.549794238683128,0.149803282863585
gluc,1,0.0378600823045268,0.0105401222015356
gluc,2,0.0938271604938272,0.0357243364842975
gluc,3,0.152263374485597,0.0343812322209143
gluc,4,0.196707818930041,0.0350833604706948
gluc,5,0.232921810699589,0.0380830791811005
gluc,6,0.281481481481482,0.0491351820793393
gluc,7,0.324279835390947,0.0447785037324624
gluc,8,0.356378600823045,0.0478287744058194
gluc,9,0.393415637860082,0.0435825589954691
gluc,10,0.421399176954733,0.039265384170787
gluc,11,0.453497942386831,0.0442075687308503
gluc,12,0.48559670781893,0.0489417901146288
gluc,13,0.510288065843621,0.048692014675717
gluc,14,0.538271604938272,0.0534155744513184
gluc,15,0.584362139917696,0.0545201486804253
gluc,16,0.621399176954733,0.0549471332690519
gluc,17,0.650205761316872,0.0680494703163601
gluc,18,0.687242798353909,0.0744799124766499
gluc,19,0.705349794238683,0.0720951950560051
gluc,20,0.734156378600823,0.0628323775604685
gluc,21,0.766255144032922,0.0532949615557599
gluc,22,0.796707818930041,0.0533902049060966
gluc,23,0.826337448559671,0.0542960411603972
gluc,24,0.845267489711934,0.055973129665578
gluc,25,0.872427983539095,0.049601709212574
gluc,26,0.898765432098766,0.0560154716943985
gluc,27,0.933333333333333,0.056950926393436
gluc,28,0.958847736625514,0.0589440634396506
gluc,29,0.977777777777778,0.080842990339481
gluc,30,1.0,0.0762239458786821
